"","state","week_end","delay.adj.count.lcl","delay.adj.count.med","delay.adj.count.ucl"
"335","TX","2020-04-18",4209.71852213544,4225.51691377882,4240.5418210284
"336","TX","2020-04-25",4287.31752098341,4310.95901041525,4339.08581744386
"337","UT","2020-03-07",402.289122145705,402.781153904003,403.632204106152
"338","UT","2020-03-14",404.445788500411,405.023504464759,406.004888061324
"339","UT","2020-03-21",410.762847449165,411.568507326906,412.712597381039
"340","UT","2020-03-28",395.206090391576,396.198630744224,397.471091333813
"341","UT","2020-04-04",406.714286335154,407.81310497194,409.534377938686
"342","UT","2020-04-11",378.041705398537,379.271935320531,381.063904574704
"343","UT","2020-04-18",388.540465808469,389.943437368998,391.808548787221
"344","UT","2020-04-25",408.104831955738,410.072696756552,412.744068561123
"345","VA","2020-03-07",1478.20927515738,1480.50203592798,1483.34635090834
"346","VA","2020-03-14",1426.80020763241,1429.07441089536,1432.41203040388
"347","VA","2020-03-21",1452.68951733776,1455.81641196391,1460.24042011608
"348","VA","2020-03-28",1524.98830363711,1529.83716339066,1536.06037298055
"349","VA","2020-04-04",1470.80641642273,1477.92281684241,1485.22456486259
"350","VA","2020-04-11",1634.47438206694,1643.67398251396,1654.25277192066
"351","VA","2020-04-18",1592.52052876918,1604.4077787748,1618.00867804547
